ID,Order_Date,Customer_Name,Email_Address,Phone_Number,Country,City,Category,Item_Name,Qty,Price_Per_Unit,Discount_Percentage,Tax_Amount,Shipping_Fee,Total_Price,Payment_Type,Status,Age,Gender,Source,Loyalty,Address,Comments
,05-05-23,ALEX WONG,duplicate@company.com,N/A,united states,london,Electronics,Product-40,,$155.49,10,8%,24.192804300470872,,wire,shipped,99+,M,??,0,"156 Main St, london",Call before delivery
TRX-1669,05/04/2023,Null,test@gmail.com,(998) 2159154,Canada,Toronto,Office Supplies,Product-29,-1,0.00,10,TBD,8.292687293611397,,Cash,Pending,36,Unk,Google,0,"8 Main St, Toronto",
TRX-1612,Invalid_Date,B.J. Miller,user123@yahoo,435-807-5810,U.K.,bErLiN,Clothing,Product-38,1,116.51941872000263,10,8%,7.363300645618811,,cc,shipped,99+,Female,Social,N,"440 Main St, bErLiN",
TRX-1595,Invalid_Date,John Doe,  space@web.de,(545) 6007031,USA,london,Electronics,Product-18,5,0.00,None,0.08,24.049614661239815,,Cash,shipped,0,Male,Social,No,"167 Main St, london",
TRX-1103,07-23-23,Unknown User,missing_at_sign.com,(496) 5783878,USA,  Paris  ,Office Supplies,Product-14,7,0.00,None,TBD,16.53209033598042,,wire,shipped,-5,Female,??,1,"542 Main St,   Paris  ",
TRX-1014,2023-02-20,B.J. Miller,missing_at_sign.com,(642) 6779479,UK,london,Electronics,Product-21,5,218.3711830569581,5%,0.08,21.579311309363874,,Paypal,Delivrd,46,Female,Ads,N,"935 Main St, london",
TRX-1266,28/12/2023,John Doe,test@gmail.com,N/A,France,  Paris  ,Electronics,Product-29,,305.0299962294136,0.15,TBD,16.218961702674516,,Credit Card,Shipped,0,NB,Google,Y,"791 Main St,   Paris  ",
TRX-1611,01-13-23,Unknown User,missing_at_sign.com,N/A,UK,NEW YORK,Clothing,Product-7,-1,0.00,0.15,0.08,21.296071198043837,,cc,Shipped,-5,NB,??,No,"138 Main St, NEW YORK",
TRX-1605,28/02/2023,B.J. Miller,duplicate@company.com,(507) 9782849,USA,  Paris  ,Food,Product-26,5,0.00,None,0.08,20.489416068960082,,wire,Shipped,37,Male,??,No,"786 Main St,   Paris  ",
TRX-1977,09-14-23,  mary smith,  space@web.de,(384) 2719071,U.K.,london,Food,Product-18,-1,225.9726729418892,0.15,8%,18.677387452613843,,Credit Card,Pending,99+,Female,Google,0,"723 Main St, london",
TRX-1116,Invalid_Date,Unknown User,duplicate@company.com,(999) 3319601,U.S.A,Toronto,Electronics,Product-28,-1,278.3430180723197,0.15,TBD,9.96040124787103,,Paypal,shipped,38,M,Google,Yes,"28 Main St, Toronto",
TRX-1169,03/12/2023,Null,test@gmail.com,903-374-2107,U.S.A,NEW YORK,Furniture,Product-3,-1,0.00,5%,0.08,18.730887841444414,,wire,Pending,0,F,Ads,1,"58 Main St, NEW YORK",
TRX-1190,2024-01-14,  mary smith,missing_at_sign.com,(257) 5406529,USA,bErLiN,Electronics,Product-48,8,0.00,None,0.08,10.384504457153987,,Paypal,Pending,0,F,Social,Y,"183 Main St, bErLiN",
TRX-1693,Invalid_Date,John Doe,user123@yahoo,N/A,UK,Toronto,Food,Product-28,5,0.00,10,TBD,14.18225260810926,,Paypal,shipped,62,Unk,??,0,"449 Main St, Toronto",
TRX-1999,Invalid_Date,Null,user123@yahoo,(873) 5641276,United Kingdom,bErLiN,Food,Product-24,,$94.47,10,TBD,19.385894238548218,,cc,Pending,62,F,??,Y,"286 Main St, bErLiN",
TRX-1001,Invalid_Date,Chris-O'Brian,user123@yahoo,N/A,UK,bErLiN,Clothing,Product-7,-1,139.34731386832502,None,8%,11.924286966686966,,Cash,Delivrd,99+,Female,Google,N,"22 Main St, bErLiN",
TRX-1917,04/10/2023,  mary smith,duplicate@company.com,N/A,Canda,bErLiN,Electronics,Product-27,,141.36727516910042,None,8%,5.095328928473453,,Paypal,shipped,99+,M,Ads,1,"561 Main St, bErLiN",
TRX-1105,2023-07-24,  mary smith,missing_at_sign.com,N/A,united states,london,Furniture,Product-32,5,$159.44,0.15,8%,15.315014751893063,,wire,  Cancelled  ,59,Male,??,1,"664 Main St, london",
TRX-1609,19/05/2023,Null,user123@yahoo,N/A,UK,Toronto,Food,Product-8,,0.00,5%,TBD,13.000422149420833,,Paypal,Shipped,99+,Female,Social,0,"968 Main St, Toronto",
TRX-1697,2023-04-02,Unknown User,missing_at_sign.com,(945) 6065380,Canda,london,Furniture,Product-31,1,0.00,0.15,0.08,20.4454335949196,,Paypal,shipped,0,NB,Referral,No,"33 Main St, london",
TRX-1223,09-09-23,Chris-O'Brian,missing_at_sign.com,(317) 8347537,United Kingdom,london,Electronics,Product-49,-1,0.00,10,8%,17.7811902688308,,Cash,Pending,-5,Unk,Referral,N,"779 Main St, london",
TRX-1372,09-17-23,Chris-O'Brian,duplicate@company.com,(844) 6321395,United Kingdom,london,Furniture,Product-22,,0.00,5%,8%,9.93290417405458,,wire,SHIPPED,68,Male,Referral,1,"749 Main St, london",
TRX-1296,Invalid_Date,B.J. Miller,test@gmail.com,726-272-8591,united states,NEW YORK,Food,Product-39,5,0.00,None,8%,8.1979243847999,,Paypal,Pending,-5,M,Referral,0,"252 Main St, NEW YORK",
TRX-1919,17/08/2023,John Doe,test@gmail.com,(165) 2884744,U.K.,  Paris  ,Clothing,Product-45,-1,$235.22,None,8%,5.862715674924523,,Cash,Pending,0,Male,Social,0,"620 Main St,   Paris  ",
TRX-1808,2023-11-07,Unknown User,  space@web.de,N/A,Gerrmany,NEW YORK,Furniture,Product-2,two,$492.23,10,TBD,18.52768819487644,,Credit Card,Shipped,99+,F,Social,Yes,"920 Main St, NEW YORK",
TRX-1546,2023-09-03,Unknown User,duplicate@company.com,N/A,United Kingdom,NEW YORK,Furniture,Product-33,5,$378.24,10,0.08,19.71313599050733,,Credit Card,shipped,0,Unk,Google,Y,"565 Main St, NEW YORK",
TRX-1920,2023-09-21,Unknown User,duplicate@company.com,654-610-6979,united states,london,Office Supplies,Product-9,,0.00,10,TBD,18.256303902722156,,wire,Pending,31,Unk,Google,N,"183 Main St, london",
TRX-1031,Invalid_Date,Unknown User,  space@web.de,N/A,U.S.A,Toronto,Office Supplies,Product-5,two,245.0412295694834,0.15,TBD,17.246550910022528,,wire,Delivrd,0,Male,Social,1,"66 Main St, Toronto",
TRX-1122,10-07-23,John Doe,test@gmail.com,(784) 3793032,united states,  Paris  ,Clothing,Product-30,4,0.00,5%,TBD,14.886576702530913,,cc,  Cancelled  ,99+,F,Google,No,"166 Main St,   Paris  ",
TRX-1656,Invalid_Date,Unknown User,user123@yahoo,N/A,U.K.,london,Food,Product-50,5,69.0757596010025,10,0.08,6.355766464507129,,Cash,Pending,99+,NB,Ads,N,"474 Main St, london",
